ID	DESC	SECT	FightState
1	华山脚下	2,2288,4091	1
2	剑阁蜀道	3,1159,3715	1
3	秦始皇陵	7,2235,2847	1
4	金光洞内洞洞口	4,1596,3282	1
5	经皇洞内洞洞口	5,1802,3412	1
6	经皇洞内洞洞口	5,1599,3215	1
7	经皇洞内洞洞口	5,1694,3345	1
8	金光洞洞口	3,932,4076	1
9	锁云洞洞口	6,1660,3314	1
10	金光洞内洞洞口	4,1476,2980	1
11	金光洞内洞洞口	4,1647,2904	1
12	金光洞内洞洞口	4,1633,3209	1
13	经皇洞洞口	19,3486,4070	1
14	锁云洞内洞洞口	6,1644,3195	1
15	锁云洞内洞洞口	6,1506,3085	1
16	锁云洞内洞洞口	6,1384,3286	1
17	金光洞内洞洞口	4,1797,3058	1
18	经皇洞内洞洞口	5,1822,3473	1
19	秦始皇陵地下一层	8,1603,3497	1
20	秦始皇陵地下入口	7,2417,2631	1
21	雁石洞内洞洞口	10,1603,3209	1
22	雁石洞洞口	9,2478,5691	1
23	长江源头	9,2404,5539	1
24	剑阁蜀道	19,3084,3975	1
25	青城山山脚	21,2625,4507	1
26	信相寺后院地道口	12,1589,3188	1
27	长江源头	9,2158,5631	1
28	猛虎洞洞口	14,1589,3217	1
29	经皇洞内洞洞口	5,1581,3666	1
30	白云洞洞口	21,2852,3887	1
31	白云洞内洞洞口	22,1752,3372	1
32	神仙洞内洞洞口	23,1583,3205	1
33	神仙洞内洞洞口	23,1796,3351	1
34	神仙洞内洞洞口	23,1710,3077	1
35	响水洞内洞洞口	24,1692,3189	1
36	神仙洞洞口	21,1975,4353	1
37	神仙洞洞口	21,2072,3862	1
38	神仙洞洞口	21,2247,3923	1
39	响水洞洞口	21,1712,3872	1
40	竹丝洞洞口	26,1493,3344	1
41	1	1,2,34	1
42	1	1,2,3	1
43	1	1,2,3	1
44	1	1,2,3	1
45	1	1,2,3	1
46	苗岭	74,2040,3259	1
47	武陵山脚	70,1608,3230	1
48	1	1,2,3	1
49	衡山脚下	56,1491,3534	1
50	燕子洞内洞洞口	77,1321,3292	1
51	燕子洞内洞洞口	77,1763,3412	1
52	燕子洞内洞洞口	77,1685,3391	1
53	燕子洞内洞洞口	77,1406,3628	1
54	山宝洞内洞洞口	76,1554,2963	1
55	山宝洞内洞洞口	76,1517,3076	1
56	山宝洞内洞洞口	76,1616,2890	1
57	山宝洞内洞洞口	76,1604,3303	1
58	山宝洞内洞洞口	76,1696,2916	1
59	燕子洞内洞洞口	77,1549,3169	1
60	燕子洞内洞洞口	77,1835,3458	1
61	山宝洞内洞洞口	76,1796,2959	1
62	山宝洞内洞洞口	76,1752,3147	1
63	山宝洞洞口	74,1749,3071	1
64	山宝洞洞口	74,1774,3434	1
65	山宝洞洞口	74,1871,3160	1
66	山宝洞洞口	74,1875,3455	1
67	山宝洞洞口	74,1806,3379	1
68	蚩尤洞内洞洞口	75,1671,3345	1
69	蚩尤洞内洞洞口	75,1599,3263	1
70	燕子洞洞口	74,1947,3120	1
71	燕子洞洞口	74,2045,3372	1
72	燕子洞洞口	74,2116,3551	1
73	燕子洞洞口	74,1993,3688	1
74	蚩尤洞内洞洞口	75,1816,3009	1
75	蚩尤洞内洞洞口	75,1872,3071	1
76	青螺洞内洞洞口	69,1600,3207	1
77	洞庭湖底	66,1897,3107	1
78	天王洞内洞洞口	65,1596,3250	1
79	白水洞内洞洞口	71,1701,3029	1
