Name	PhysicalDamageBase	PhysicalMagic	PoisonDamageBase	PoisonMagic	ColdDamageBase	ColdMagic	FireDamageBase	FireMagic	LightingDamageBase	LightingMagic	AuraSkillName	AuraSkillLevel	PasstSkillName	PasstSkillLevel
еХзке§	0|0	0	0|0	1	0|0	1	0|0	1	0|1000	1	ЦпаЧеѓ	0|30	БљбЃУтвп	0|60
аўПе	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ТоККеѓ	1|-40	ЬндЦзн	1|-40
УюШч	0|535	0	0|0	1	0|3100	1	0|0	1	0|0	1	СїЫЎ	0|20	БљЖГУтвп	0|60
РюдЊЧь	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ХэСЌЖї	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ВмУЫ	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ТоККеѓ	1|-40	ЬндЦзн	1|-40
Вмец	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ВмЫЌ	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ВмЧЋ	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ВмСІ	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ЪЉЧр	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
ЬЦЗч	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	ЦпаЧеѓ	1|-40	ЬндЦзн	1|-40
СјЧрЧр	0|230	2	0|10	1	0|0	1	0|0	1	0|0	1	ЧрФОЙІ	0|30	жаЖОУтвп	0|60
