等级	升级需要经验
1	100
2	100
3	100
4	100
5	100
6	100
7	100
8	100
9	100
10	100
11	1000
12	1000
13	1000
14	1000
15	1000
16	1000
17	1000
18	1000
19	1000
20	1000
21	1500
22	1500
23	1500
24	1500
25	1500
26	97100
27	106900
28	117300
29	128300
30	139900
31	152100
32	165400
33	179800
34	195300
35	211900
36	229600
37	248400
38	268300
39	289300
40	311400
41	334600
42	360400
43	388800
44	419800
45	453400
46	489600
47	528400
48	569800
49	613800
50	660400
51	709600
52	766000
53	829600
54	900400
55	978400
56	1063600
57	1156000
58	1255600
59	1362400
60	1476400
61	1597600
62	1738200
63	1898200
64	2077600
65	2276400
66	2494600
67	2732200
68	2989200
69	3265600
70	3561400
71	3876600
72	3940200
73	4052200
74	4112600
75	4221400
76	4378600
77	4484200
78	4538200
79	4640600
80	4791400
81	4890600
82	4900800
83	5056220
84	5142000
85	5299400
86	5335600
87	5481800
88	5553000
89	5680200
90	5787400
91	5878600
92	5993000
93	6031600
94	6193240
95	6278640
96	6387660
97	6420300
98	6576560
99	6656440
100	10000000
101	12000000
102	13000000
103	14000000
104	15000000
105	16000000
106	17000000
107	18000000
108	19000000
109	20000000
110	21000000
111	22000000
112	23000000
113	24000000
114	25000000
115	26000000
116	27000000
117	28000000
118	29000000
119	30000000
120	40000000
121	41000000
122	42000000
123	43000000
124	44000000
125	45000000
126	46000000
127	47000000
128	48000000
129	49000000
130	50000000
131	60000000
132	70000000
133	80000000
134	90000000
135	100000000
136	110000000
137	120000000
138	130000000
139	140000000
140	150000000
141	160000000
142	170000000
143	180000000
144	190000000
145	200000000
146	200000000
147	200000000
148	200000000
149	200000000
150	200000000
151	200000000
152	200000000
153	200000000
154	200000000
155	200000000
156	200000000
157	200000000
158	200000000
159	200000000
160	200000000
161	200000000
162	200000000
163	200000000
164	200000000
165	200000000
166	200000000
167	200000000
168	200000000
169	200000000
170	300000000
171	300000000
172	300000000
173	300000000
174	300000000
175	300000000
176	300000000
177	300000000
178	300000000
179	300000000
180	400000000
181	400000000
182	400000000
183	400000000
184	400000000
185	400000000
186	400000000
187	400000000
188	400000000
189	400000000
190	500000000
191	500000000
192	500000000
193	500000000
194	500000000
195	500000000
196	500000000
197	500000000
198	500000000
199	500000000
200	500000000
