名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装
梦龙法冠	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	黄金装备	4	99999	10	0	30	360	360	31	60	60																36	50	32	280									129	130					1
梦龙戒衫	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	黄金装备	3	99999	10	0	30	720	720	31	60	60																36	90	32	280									1	96	53	39	92	174	1
梦龙软绦	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备	1	99999	10	0	30	160	160	31	60	60																36	80	32	135									4	31	53	35	90	155	1
梦龙护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	2	99999	10	0	30	135	135	31	60	60																36	99	32	110									46	170	133	70	65	171	1
梦龙僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	0	99999	10	0	30	160	160	31	60	60																36	85	32	135									1	27	56	103	65		1
伏魔铜棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备	2	99999	10	0	28	69	69	29	128	128	31	60	60													36	99	32	180									1	133	47	51	110	70	2
伏魔戒衫	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	黄金装备	0	99999	10	0	30	630	630	31	60	60																36	95	32	260									92	176	96	39	175	173	2
伏魔软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备	4	99999	10	0	30	140	140	31	60	60																36	80	32	110									4	31	65	35	90	155	2
伏魔护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	3	99999	10	0	30	115	115	31	60	60																36	50	32	90									129	130					2
伏魔僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	1	99999	10	0	30	140	140	31	60	60																36	85	32	110									1	43	67	103	90		2
