SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	ColideEvent	ColideSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	SkillDesc
长兵物理攻击	外功系攻击	1	1	0	\spr\Ui\技能图标\icon_sk_ty_ap.spr		0	0	0	0	0	0	100	0	0	0	0	1	64	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\special\长兵物理攻击.lua	physicsenhance_p		attackrating_p		skill_cost_v																普通攻击。
远程物理攻击	外功系攻击	2	1	0	\spr\Ui\技能图标\icon_sk_ty_at.spr				0	0	0	0	320	0	0	0	0	1	65	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\special\远程物理攻击.lua	physicsenhance_p		attackrating_p		skill_cost_v																普通攻击。
少林剑法	被动攻击辅助	3	11	3	\spr\Ui\技能图标\剑法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\少林剑法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用剑类武器的能力。
少林棍法	被动攻击辅助	4	11	3	\spr\Ui\技能图标\棍法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\少林棍法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用棍类武器的能力。
少林枪法取消	被动攻击辅助	5	11	3	\spr\Ui\技能图标\枪法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\少林枪法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用枪类武器的能力。
少林刀法	被动攻击辅助	6	11	3	\spr\Ui\技能图标\刀法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\少林刀法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用刀类武器的能力。
少林锤法取消	被动攻击辅助	7	11	3	\spr\Ui\技能图标\剑法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\少林锤法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用锤类武器的能力。
少林拳法	被动攻击辅助	8	11	3	\spr\Ui\技能图标\icon_sk_ty_ap.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin\shaolin-quanfa.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高空手攻击的能力。
混元一气功	被动属性加强	9	41	3	\spr\Ui\技能图标\icon_sk_sl_01.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\罗汉伏魔.lua	staminamax_p																				少林入门内功，能增加修炼者的体力。
金刚伏魔	外功系攻击	10	1	1	\spr\Ui\技能图标\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	1	90	5	1	5	1	8	216	0	1	0	9	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	1	80	0	0		0					0	0	\script\skill\shaolin\jingang-fumo.lua	physicsenhance_p		skill_cost_v																		少林入门武功，攻击单人的招式。
横扫六合	外功系攻击	11	1	1	\spr\Ui\技能图标\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	90	5	1	6	1	8	217	1	3	0	10	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	\script\skill\shaolin\hengsao-liuhe.lua	skill_cost_v		physicsenhance_p		attackrating_p		skill_eventskilllevel		deadlystrike_p												少林进阶武功，攻击附近的一圈敌人。
金刚护体	被动防御辅助	12	21	3	\spr\Ui\技能图标\icon_sk_sl_11.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\金刚护体.lua	adddefense_v																				少林进阶内功，能增加修炼者的防御力。
立地成佛		13		0	\spr\Ui\技能图标\icon_sk_sl_13.spr	\spr\skill\少林\sl_02_清心梵音.spr	\sound\skill\sound_k011.wav	0	0	0	2	0	400	0	1	0	1	3	76	0	1	1	11	1	0	5	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	188	30	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\清心梵音.lua	badstatustimereduce_v		skill_cost_v																		少林禅唱，用佛心解除自身的负面状态。
行龙不雨	内功系攻击	14	2	0	\spr\Ui\技能图标\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	2	0	400	0	0	0	1	7	66	1	1	1	11	1	1	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	186	0	0	20	20	-2	0	80	0	0		0					0	0	\script\skill\shaolin\xinglong-buyu.lua	skill_cost_v		colddamage_v		physicsdamage_v																少林中级武功，对圆形区域内敌人造成伤害并有冰冻效果。
不动明王咒	主动防御辅助	15	22	0	\spr\Ui\技能图标\icon_sk_sl_22.spr	\spr\skill\少林\sl_05_不动明王咒.spr	\sound\skill\不动明王咒.wav	0	0	0	2	0	400	0	1	0	1	3	76	0	1	1	11	1	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	186	30	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\不动明王咒.lua	adddefense_v		skill_cost_v																		少林禅唱，借明王法力增加己方防御力。
罗汉阵	光环战斗辅助	16	33	2	\spr\Ui\技能图标\icon_sk_sl_23.spr				45	1	2	0	180	0	0	0	1	7	202	1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin\luohan-zhen.lua	meleedamagereturn_p		rangedamagereturn_p		adddefense_v		addphysicsdamage_p														少林群战阵法，攻守兼备，同时可以将自身受到的伤害反弹至对手身上。
龙爪虎抓取消	外功系攻击	17	1	1	\spr\Ui\技能图标\icon_sk_sl_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	0	90	0	0	0	1	8	218	0	1	0	10	0	1	0	0	0	0	10	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-1	1	80	0	0		0					0	0	\script\skill\shaolin\longzhao-huzhua.lua	physicsenhance_p		skill_cost_v		deadlystrike_p		attackrating_p														少林高级武功，对单个敌人手到擒来。
慧眼咒	主动攻击辅助	18	12	0	\spr\Ui\技能图标\icon_sk_sl_32.spr	\spr\skill\少林\sl_04_慧眼咒.spr	\sound\skill\慧眼咒.wav	0	0	0	2	0	400	0	0	0	1	3	76	0	1	1	11	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	185	40	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin\huiyan-zhou.lua	attackratingenhance_p		skill_cost_v		deadlystrikeenhance_p																少林禅唱，合我佛慧眼以增加己方命中率。
摩诃无量	外功系攻击	19	1	0	\spr\Ui\技能图标\icon_sk_sl_41.spr		\sound\skill\摩诃无量.wav		0	0	0	0	200	5	0	0	1	1	61	0	1	1	11	0	0	5	0	0	0	20	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	50	0	0		0					0	0	\script\skill\shaolin\mohe-wuliang.lua	colddamage_v		skill_cost_v		physicsenhance_p		deadlystrike_p														少林最高刀法绝学，以深厚内力激发战意化为幻影杀伤敌人。
