10	凤翔府	成都府	大理府	汴京府	襄阳府	扬州府	临安府	江津村	龙门镇	巴陵县	南岳镇	龙泉村	稻香村	永乐镇	朱仙镇
凤翔府	-1	20	-1	30	30	40	-1	30	-1	-1	-1	-1	40	10	40
成都府	20	-1	-1	30	30	40	-1	10	-1	-1	-1	-1	50	30	40
大理府	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
汴京府	30	30	-1	-1	20	30	-1	40	-1	-1	-1	-1	30	40	10
襄阳府	30	30	-1	20	-1	10	-1	40	-1	-1	-1	-1	10	40	30
扬州府	40	40	-1	30	10	-1	-1	50	-1	-1	-1	-1	10	50	40
临安府	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
江津村	30	10	-1	40	40	50	-1	-1	-1	-1	-1	-1	40	-1	-1
龙门镇	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
巴陵县	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	30	-1	-1	-1
南岳镇	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1
龙泉村	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1
稻香村	40	50	-1	30	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1
永乐镇	10	30	-1	40	40	50	-1	-1	-1	-1	-1	-1	-1	-1	-1
朱仙镇	40	40	-1	10	30	40	-1	-1	-1	-1	-1	-1	-1	-1	-1
